Date,WIPRO.NS,BAJAJ-AUTO.NS,HDFCBANK.NS,HEROMOTOCO.NS,TCS.NS,INFY.NS,NESTLEIND.NS,MARUTI.NS,RELIANCE.NS,TATAMOTORS.NS,NSE Index
18-06-2018,187.771194,1811.349731,402.233887,2054.000244,965.291138,342.210846,4533.170898,2275.727783,505.316864,426.556976,7540.700195
19-06-2018,190.142685,1819.477539,397.849518,2050.206299,986.529602,349.750916,4517.441406,2224.37207,493.640228,431.923981,7511.450195
20-06-2018,190.001099,1835.943481,396.018616,2035.11084,993.616699,350.247253,4516.206543,2211.61499,490.987457,431.382385,7493.350098
23-06-2018,188.089783,1845.46106,395.77774,2085.52417,983.409119,341.371277,4523.477051,2224.605957,491.674316,428.969666,7580.200195
24-06-2018,188.054367,1870.77063,399.415344,2111.195068,1000.833069,338.335083,4507.65625,2256.662354,502.04837,435.419983,7569.25
25-06-2018,187.293381,1916.842163,397.054504,2133.435059,1001.483643,339.121857,4527.773926,2309.373291,497.85611,436.503204,7493.200195
26-06-2018,189.52327,1927.917847,391.41745,2136.744873,1000.22644,336.085754,4562.847656,2324.23291,479.334564,431.33313,7508.799805
27-06-2018,193.239761,1944.846558,393.248291,2117.370605,1040.059326,340.404999,4514.880371,2294.13916,479.42926,425.769135,7611.350098
30-06-2018,193.399048,1950.826904,395.825867,2126.855469,1051.263794,343.800232,4508.523926,2279.793457,480.992493,424.735107,7634.700195
01-07-2018,190.496643,1966.408569,396.669037,2133.919189,1036.245117,340.15683,4512.273438,2414.794922,477.487122,443.938293,7725.149902
02-07-2018,191.434616,1979.126465,404.666992,2163.304443,1040.948242,339.549591,4563.07666,2469.141113,482.34256,448.862213,7714.799805
03-07-2018,196.619995,1979.384766,403.173401,2141.462158,1048.013306,339.063751,4570.895996,2457.879395,476.776581,462.599884,7751.600098
04-07-2018,193.522919,1978.610229,412.737213,2137.780762,1044.805664,342.786346,4548.946289,2469.655273,488.832184,462.304443,7787.149902
07-07-2018,197.363297,1981.62207,404.931976,2164.172607,1078.635742,353.293976,4593.715332,2466.244141,486.582153,471.561371,7623.200195
08-07-2018,194.584763,1915.875244,399.535828,2133.933594,1061.687866,352.945496,4557.407715,2420.262207,471.352753,462.846039,7585
09-07-2018,193.009689,1867.124023,400.041687,2099.682129,1039.453247,349.58728,4579.172852,2351.850342,474.147583,452.214447,7567.75
10-07-2018,192.815018,1852.107422,396.693146,2017.942383,1019.362671,347.723328,4531.021484,2366.102783,472.371216,448.159576,7459.600098
11-07-2018,195.682022,1836.401855,391.128296,2013.019165,1037.848755,351.308563,4565.45459,2340.821777,457.828674,441.038879,7454.149902
14-07-2018,190.709,1830.894531,393.850525,2020.506714,1051.632324,340.600342,4534.086914,2345.494873,455.578583,450.97821,7526.649902
15-07-2018,189.664841,1855.162354,398.355347,1991.674316,1039.951416,340.642578,4523.842773,2353.719238,460.528748,457.802216,7624.399902
16-07-2018,189.470184,1839.112793,402.667511,2012.688843,1041.056885,341.059753,4545.836914,2403.906738,468.818451,465.120697,7640.450195
17-07-2018,190.19577,1796.557617,400.764404,2023.278076,1032.430908,342.084045,4568.015625,2392.878906,465.407837,470.065674,7663.899902
18-07-2018,193.62912,1791.050293,401.077576,2072.049072,1058.112183,343.377716,4584.477051,2359.466797,462.684082,470.065674,7684.200195
21-07-2018,194.665039,1781.971313,398.668579,2081.894531,1067.886353,338.007721,4608.026367,2375.121338,472.584381,469.719513,7767.850098
22-07-2018,199.594604,1781.497925,404.642883,2085.162842,1097.64209,341.492706,4758.425781,2348.999512,488.35849,481.340118,7795.75
23-07-2018,203.934799,1811.746704,402.932526,2116.559326,1120.939331,353.716431,4729.891113,2327.177002,489.447968,479.510468,7830.600098
24-07-2018,206.060242,1814.672485,405.799255,2099.930176,1124.861938,357.180145,4709.130859,2335.260986,493.142792,479.906067,7790.450195
25-07-2018,196.844055,1807.831055,402.547089,2130.127441,1129.434814,354.006805,4724.585938,2345.168213,484.047821,456.022034,7748.700195
28-07-2018,198.987366,1793.459839,399.680298,2099.8479,1139.801392,356.002777,4743.426758,2341.616211,476.350281,448.851868,7791.399902
30-07-2018,196.736877,1789.45813,404.137024,2153.003418,1142.332275,356.118866,4739.083496,2385.495361,476.610779,446.379395,7721.299805
31-07-2018,194.468582,1786.446167,401.824371,2148.700928,1135.729492,355.638336,4690.15332,2358.953125,476.752838,441.830048,7602.600098
01-08-2018,191.467972,1770.955811,392.886902,2148.205078,1107.71106,352.855774,4758.517578,2416.85083,462.470886,435.154419,7683.649902
04-08-2018,195.98674,1796.945313,391.706482,2151.803711,1111.958984,365.977081,4763.593262,2472.645752,466.592133,441.681702,7746.549805
05-08-2018,196.308212,1855.033325,395.175507,2137.24292,1110.924438,370.987976,4764.371582,2491.477783,466.047302,451.769409,7672.049805
06-08-2018,196.969116,1844.835693,390.261078,2149.611328,1103.419189,377.625183,4846.817871,2464.515381,468.084198,442.621246,7649.25
